country,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Austria,-0.64330139653849,-0.129955110359909,-0.555726698909214,-0.539350133941988,-0.234470064614429,0.578330418349117
Belgium,-0.590524332519096,0.00525226352011797,-0.42801798184423,-0.414159827139888,-0.115939066048561,0.49294861512697
Bulgaria,-0.24531960675739,0.275780040882405,-0.17564157322247,0.140882951164043,-0.0932164285476273,0.0715062430327236
Croatia,-0.620771833747121,-0.102517077217871,-0.602799262178018,-0.484334236942428,-0.12710766463333,0.434546126583315
Czechia,-0.5122375527162,-0.158467313852061,-0.393876424368149,-0.483995735215388,-0.20018438307167,0.504115904253441
Denmark,-0.614911914202392,-0.338789231976161,-0.610027584102769,-0.710876551624618,-0.170896106923082,0.556475352189888
Estonia,-0.611239790033583,-0.38005824390068,-0.451041564225179,-0.667490215257031,-0.15659388682127,0.517229881033137
Finland,-0.572031086441768,-0.27395749704843,-0.460393235933131,-0.642990745755664,0.014061705179217,0.604712792902005
France,-0.445703932636219,-0.15253394382077,-0.3285545466984,-0.391176863714474,-0.155252190530228,0.361159423328519
Germany,-0.731593131084933,-0.0817993981955679,-0.670691303677784,-0.701851159876448,-0.151764269252764,0.658407788366849
Hungary,-0.546219913731599,-0.0702156446900403,-0.508437996453512,-0.438092010443062,-0.0795956496017129,0.474552682590107
Ireland,-0.612397277838621,-0.3110390301023,-0.466788186567345,-0.694923544095775,-0.316990028789966,0.514806030971566
Italy,-0.587015459300396,-0.0895889362527829,-0.578399575544721,-0.550744577242088,-0.229635103659492,0.592669332361405
Latvia,-0.830803556707804,-0.71326186378374,-0.708473016717806,-0.837347865465582,-0.357365023756673,0.65334104648927
Lithuania,-0.546794329420189,-0.437103110963359,-0.263805677408094,-0.538861031281568,-0.402722881698331,0.520124352606342
Luxembourg,-0.368893923889263,0.0176388303684127,-0.309821917289369,-0.282224513767517,-0.110913849882631,0.305323688543601
Netherlands,-0.687205381072029,-0.212754856589374,-0.418303337724423,-0.614033566154784,-0.182231590923866,0.563179929040738
Norway,-0.641704209255967,-0.358521725000183,-0.460847546638662,-0.744396463444443,-0.0349141417641075,0.603843405057975
Poland,-0.615377544948924,-0.176828612561218,-0.628491258505365,-0.510701151232302,-0.101256034370225,0.559819673886286
Portugal,-0.344476562864568,-0.200596957441298,-0.487040295980242,-0.342296957671653,-0.172260265227222,0.357630555407551
Romania,-0.0490954157497772,0.35998634901308,-0.0935906515522768,-0.0305022654053907,0.0857059716019283,-0.0834040194942543
Slovakia,-0.670789986610911,-0.311297969019704,-0.621644056500827,-0.663639182788844,-0.367403310449965,0.619225514390697
Slovenia,-0.601435773603724,-0.177187647133217,-0.512603516260767,-0.501401774479992,-0.240832263028653,0.553675333679335
Spain,-0.398165337704524,-0.130009616528086,-0.377667867393669,-0.146243744380157,0.0365163920916162,0.344204929807003
Sweden,-0.400142242829888,-0.191305520413566,-0.16506432704405,-0.515719512833921,-0.182535929029999,0.420910528421154
